Title	Year	Score	Runtime	Genre	Rating
Like Father Like Son, 	1987, 	5.1/10, 	96 minutes, 	Comedy, 	PG-13

Bagdad Cafe, 	1987, 	7.5/10, 	95 minutes, 	Comedy, 	PG

Shy People, 	1987, 	6.9/10, 	100 minutes, 	Drama, 	R

Revenge of the Nerds II: Nerds in Paradise, 	1987, 	4.9/10, 	88 minutes, 	Comedy, 	PG-13

Prom Night II, 	1987, 	5.6/10, 	97 minutes, 	Horror, 	R

Death Wish 4: The Crackdown, 	1987, 	5.3/10, 	99 minutes, 	Action, 	R

Project X, 	1987, 	6.1/10, 	108 minutes, 	Comedy, 	PG

North Shore, 	1987, 	6.5/10, 	96 minutes, 	Action, 	PG

Man on Fire, 	1987, 	5.9/10, 	87 minutes, 	Action, 	R

The Barbarians, 	1987, 	4.9/10, 	87 minutes, 	Fantasy, 	R

Ishtar, 	1987, 	4.2/10, 	107 minutes, 	Action, 	PG-13

Hollywood Shuffle, 	1987, 	7/10, 	78 minutes, 	Comedy, 	R

Hunk, 	1987, 	4.6/10, 	102 minutes, 	Comedy, 	PG

House of Games, 	1987, 	7.3/10, 	102 minutes, 	Crime, 	R

No Man's Land, 	1987, 	6.1/10, 	100 minutes, 	Crime, 	R

The Curse, 	1987, 	4.9/10, 	92 minutes, 	Sci-Fi, 	R

Suspect, 	1987, 	6.6/10, 	121 minutes, 	Crime, 	R

The Principal, 	1987, 	6.2/10, 	109 minutes, 	Action, 	R

Hope and Glory, 	1987, 	7.4/10, 	113 minutes, 	Comedy, 	PG-13

Outrageous Fortune, 	1987, 	6.1/10, 	99 minutes, 	Comedy, 	R

Extreme Prejudice, 	1987, 	6.6/10, 	96 minutes, 	Action, 	R

American Ninja 2: The Confrontation, 	1987, 	4.8/10, 	90 minutes, 	Action, 	R

Matewan, 	1987, 	7.9/10, 	135 minutes, 	Drama, 	PG-13

Three for the Road, 	1987, 	5.3/10, 	88 minutes, 	Drama, 	PG

Leonard Part 6, 	1987, 	2.2/10, 	85 minutes, 	Action, 	PG

Street Smart, 	1987, 	6.4/10, 	97 minutes, 	Crime, 	R

Prick Up Your Ears, 	1987, 	7.4/10, 	105 minutes, 	Biography, 	R

The Sicilian, 	1987, 	5.3/10, 	115 minutes, 	Action, 	R

Born in East L.A., 	1987, 	5.9/10, 	85 minutes, 	Comedy, 	R

Light of Day, 	1987, 	5.5/10, 	107 minutes, 	Drama, 	PG-13

Pelle the Conqueror, 	1987, 	7.9/10, 	157 minutes, 	Drama, 	PG-13

